"requestYear","regionTitle","regionCID","povertyLine","mean","hc","pg","p2","population"
2015,"East Asia and Pacific","EAP",1.9,307.6468,0.02305677,0.004552817,0.001576679,2038.474494
2015,"Europe and Central Asia","ECA",1.9,513.7537,0.0146475,0.004024704,0.001752893,487.035092
2015,"Latin America and the Caribbean","LAC",1.9,473.6526,0.03882285,0.01266545,0.006432918,626.569449
2015,"Middle East and North Africa","MNA",1.9,280.5046,0.04211188,0.009958438,0.003654734,371.649116
2015,"Other high Income","OHI",1.9,1624.884,0.006792466,0.004971176,0.004284228,1083.781306
2015,"South Asia","SAS",1.9,130.526,0.1241608,0.02182154,0.005988345,1744.199944
2015,"Sub-Saharan Africa","SSA",1.9,111.5995,0.413912,0.1578416,0.08191518,1006.090069
2015,"World Total","WLD",1.9,459.2859,0.09982144,0.0305974,0.01453679,7357.79947
2015,"World less Other High Income","TOT",1.9,257.9391,0.1158914,0.0350241,0.01630783,6274.018164
2013,"East Asia and Pacific","EAP",1.9,271.6183,0.03637539,0.00687693,0.002313873,2009.237135
2013,"Europe and Central Asia","ECA",1.9,528.5117,0.0157788,0.004151485,0.001721303,482.336148
2013,"Latin America and the Caribbean","LAC",1.9,476.4159,0.04562839,0.01765643,0.0106902,612.905322
2013,"Middle East and North Africa","MNA",1.9,282.7479,0.02423849,0.004803553,0.001599599,358.352525
2013,"Other high Income","OHI",1.9,1562.664,0.006019501,0.004471975,0.003871399,1070.261874
2013,"South Asia","SAS",1.9,120.9493,0.1614872,0.0303385,0.008704898,1699.31045
2013,"Sub-Saharan Africa","SSA",1.9,109.9573,0.4264743,0.1646563,0.0860804,952.961423
2013,"World Total","WLD",1.9,442.1156,0.1119807,0.03362595,0.01580598,7185.364877
2013,"World less Other High Income","TOT",1.9,245.9979,0.130526,0.03872846,0.01789476,6115.103003
2012,"East Asia and Pacific","EAP",1.9,246.8863,0.07240246,0.01487954,0.004837252,1994.715562
2012,"Europe and Central Asia","ECA",1.9,512.198,0.0185452,0.005274454,0.002385714,480.011086
2012,"Latin America and the Caribbean","LAC",1.9,461.7425,0.04726659,0.01831097,0.01101734,605.928656
2012,"Middle East and North Africa","MNA",1.9,287.8595,0.02391015,0.004845246,0.001665733,351.660341
2012,"Other high Income","OHI",1.9,1554.004,0.005756684,0.004322657,0.003714357,1063.586638
2012,"South Asia","SAS",1.9,116.7761,0.1817484,0.0353631,0.01040386,1676.615491
2012,"Sub-Saharan Africa","SSA",1.9,108.0486,0.4390095,0.1714609,0.09036513,927.260997
2012,"World Total","WLD",1.9,432.1454,0.1279327,0.0377319,0.0173585,7099.778771
2012,"World less Other High Income","TOT",1.9,234.4721,0.1494603,0.04361866,0.01976262,6036.192133
2011,"East Asia and Pacific","EAP",1.9,229.0741,0.08571177,0.01844292,0.006207424,1980.368254
2011,"Europe and Central Asia","ECA",1.9,496.2012,0.02051759,0.005609639,0.00239932,477.920114
2011,"Latin America and the Caribbean","LAC",1.9,442.0908,0.05692284,0.02374742,0.01474597,598.885277
2011,"Middle East and North Africa","MNA",1.9,293.5307,0.02364083,0.004768318,0.001642673,345.059311
2011,"Other high Income","OHI",1.9,1554.988,0.005833272,0.004590631,0.004070274,1057.165319
2011,"South Asia","SAS",1.9,113.0375,0.1983281,0.03941223,0.0117982,1653.798614
2011,"Sub-Saharan Africa","SSA",1.9,105.746,0.4505395,0.1774278,0.09395024,902.204849
